Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Sig_B1.keys,Sig_B1.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Sig_B2.keys,Sig_B2.rt,Resp_Bloque2.keys,Resp_Bloque2.rt,Sig_B3.keys,Sig_B3.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
0.25,Stim\\05_028.jpg,En28_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En28,28,,,,,,,,,0,71,71,71,,,,,,,,,1,2.80022919281,2,1.01668564707,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_028.jpg,En28_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En28,28,,,,,,,,,0,72,72,72,,,,,,,,,1,0.117090482965,2,0.900156989935,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_019.jpg,En19_17,Enojo,17,Brenda sube el autobús en las mañanas.,Afirmación,En19,19,,,,,,,,,0,73,73,73,,,,,,,,,1,1.68152864821,2,0.75016555789,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_078.jpg,En78_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En78,78,,,,,,,,,0,74,74,74,,,,,,,,,1,1.02223652198,2,0.650342182723,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_078.jpg,Tr78_29,Tristeza,29,Miriam mira la película.,Afirmación,Tr78,78,,,,,,,,,0,75,75,75,,,,,,,,,1,1.70668452252,4,0.38365341192,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_075.jpg,Al75_22,Alegría,22,Enrique corre todas las mañanas.,Afirmación,Al75,75,,,,,,,,,0,76,76,76,,,,,,,,,1,1.06955171743,3,0.600281225288,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_019.jpg,Al19_23,Alegría,23,Óscar consigue un nuevo departamento.,Afirmación,Al19,19,,,,,,,,,0,77,77,77,,,,,,,,,1,1.01053947775,3,0.550313087373,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_075.jpg,En75_21,Enojo,21,Mauro anuncia la actividad.,Afirmación,En75,75,,,,,,,,,0,78,78,78,,,,,,,,,1,2.45558630698,2,1.68295217831,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_078.jpg,Al78_25,Alegría,25,Luis decide la comida siguiente.,Afirmación,Al78,78,,,,,,,,,0,79,79,79,,,,,,,,,1,1.88462667811,3,0.549891383314,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_078.jpg,Tr78_22,Tristeza,22,Enrique corre todas las mañanas.,Afirmación,Tr78,78,,,,,,,,,0,80,80,80,,,,,,,,,1,1.26997449248,4,0.500016957412,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_028.jpg,En28_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En28,28,,,,,,,,,0,81,81,81,,,,,,,,,1,1.62211835559,2,0.60031201638,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_019.jpg,En19_29,Enojo,29,Miriam mira la película.,Afirmación,En19,19,,,,,,,,,0,82,82,82,,,,,,,,,1,1.29046618603,2,0.600231691796,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_019.jpg,Al19_21,Alegría,21,Mauro anuncia la actividad.,Afirmación,Al19,19,,,,,,,,,0,83,83,83,,,,,,,,,1,1.12051766516,3,0.600173233351,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_078.jpg,En78_30,Enojo,30,Marisol toma 2 litros de agua cada día.,Afirmación,En78,78,,,,,,,,,0,84,84,84,,,,,,,,,1,1.58163342716,2,0.500002677486,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_078.jpg,Al78_30,Alegría,30,Marisol toma 2 litros de agua cada día.,Afirmación,Al78,78,,,,,,,,,0,85,85,85,,,,,,,,,1,1.68345822318,2,0.916832819554,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_075.jpg,Tr75_16,Tristeza,16,Valeria modifica algunas imágenes.,Afirmación,Tr75,75,,,,,,,,,0,86,86,86,,,,,,,,,1,2.39786461559,4,0.750304787166,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_019.jpg,Al19_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al19,19,,,,,,,,,0,87,87,87,,,,,,,,,1,2.33952308618,3,1.05002525762,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_028.jpg,Al28_29,Alegría,29,Miriam mira la película.,Afirmación,Al28,28,,,,,,,,,0,88,88,88,,,,,,,,,1,1.34118223506,3,0.500245882473,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_019.jpg,Tr19_25,Tristeza,25,Luis decide la comida siguiente.,Afirmación,Tr19,19,,,,,,,,,0,89,89,89,,,,,,,,,1,1.21765909176,2,1.0502300853,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_075.jpg,Tr75_25,Tristeza,25,Luis decide la comida siguiente.,Afirmación,Tr75,75,,,,,,,,,0,90,90,90,,,,,,,,,1,2.16635354954,4,0.450364762855,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_078.jpg,Tr78_25,Tristeza,25,Luis decide la comida siguiente.,Afirmación,Tr78,78,,,,,,,,,0,91,91,91,,,,,,,,,1,1.23342323737,4,0.600318710094,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_019.jpg,Al19_18,Alegría,18,Sofía escucha la música.,Afirmación,Al19,19,,,,,,,,,0,92,92,92,,,,,,,,,1,0.724845910676,3,0.450295594464,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_028.jpg,Tr28_19,Tristeza,19,Armando acompaña a Rodrígo a la tienda.,Afirmación,Tr28,28,,,,,,,,,0,93,93,93,,,,,,,,,1,0.547940834697,4,0.450286223263,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_078.jpg,Tr78_18,Tristeza,18,Sofía escucha la música.,Afirmación,Tr78,78,,,,,,,,,0,94,94,94,,,,,,,,,1,2.04082363042,4,1.68329043406,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_019.jpg,En19_29,Enojo,29,Miriam mira la película.,Afirmación,En19,19,,,,,,,,,0,95,95,95,,,,,,,,,1,1.574062389,2,0.550277833806,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_078.jpg,Tr78_24,Tristeza,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Tr78,78,,,,,,,,,0,96,96,96,,,,,,,,,1,1.38898607172,4,0.550270247596,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_019.jpg,En19_22,Enojo,22,Enrique corre todas las mañanas.,Afirmación,En19,19,,,,,,,,,0,97,97,97,,,,,,,,,1,0.819719506557,2,0.700218839864,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_028.jpg,Al28_20,Alegría,20,Karen analiza la idea.,Afirmación,Al28,28,,,,,,,,,0,98,98,98,,,,,,,,,1,1.74187025973,3,0.550478199016,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\03_078.jpg,Tr78_27,Tristeza,27,Claudia informa los avances en el reporte.,Afirmación,Tr78,78,,,,,,,,,0,99,99,99,,,,,,,,,1,1.47995009166,4,0.500288276003,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_075.jpg,Tr75_17,Tristeza,17,Brenda sube el autobús en las mañanas.,Afirmación,Tr75,75,,,,,,,,,0,100,100,100,,,,,,,,,1,1.61574058373,4,0.450223748588,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_028.jpg,En28_25,Enojo,25,Luis decide la comida siguiente.,Afirmación,En28,28,,,,,,,,,0,101,101,101,,,,,,,,,1,1.48495386691,2,1.3168532577,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\02_028.jpg,Tr28_30,Tristeza,30,Marisol toma 2 litros de agua cada día.,Afirmación,Tr28,28,,,,,,,,,0,102,102,102,,,,,,,,,1,1.48164761784,3,0.600188852019,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_078.jpg,Al78_18,Alegría,18,Sofía escucha la música.,Afirmación,Al78,78,,,,,,,,,0,103,103,103,,,,,,,,,1,2.50744921255,3,0.450022490883,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\02_078.jpg,Al78_24,Alegría,24,Guadalupe comenta los resultados con los compañeros.,Afirmación,Al78,78,,,,,,,,,0,104,104,104,,,,,,,,,1,1.40690336239,3,0.550268016357,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_075.jpg,En75_26,Enojo,26,Víctor trae el café a Marco.,Afirmación,En75,75,,,,,,,,,0,105,105,105,,,,,,,,,1,1.2222621366,2,0.649804454266,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\05_019.jpg,En19_16,Enojo,16,Valeria modifica algunas imágenes.,Afirmación,En19,19,,,,,,,,,0,106,106,106,,,,,,,,,1,2.08507578178,2,0.550377793287,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
2.5,Stim\\05_019.jpg,En19_21,Enojo,21,Mauro anuncia la actividad.,Afirmación,En19,19,,,,,,,,,0,107,107,107,,,,,,,,,1,2.05545207568,2,0.50038689674,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
0.25,Stim\\03_028.jpg,Tr28_22,Tristeza,22,Enrique corre todas las mañanas.,Afirmación,Tr28,28,,,,,,,,,0,108,108,108,,,,,,,,,1,1.41959241522,4,0.550106474697,,,,,2018_jun._13_1710,60.0160156406,Experimento Piloto1,001,134,
