7.1770 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
170.6023 	EXP 	Created Fijacion_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fijacion_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
170.6171 	EXP 	Created Enunciado_Bloque2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Enunciado_Bloque2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
170.6273 	EXP 	Created Exigencia_Bloque2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Exigencia_Bloque2', opacity=1.0, ori=0, pos=array([-0.42,  0.  ]), rgb=array([ 255.,  255.,  255.]), text=u'Exigencia', units=u'norm', win=Window(...), wrapWidth=1)
170.6386 	EXP 	Created Afirmacion_Bloque2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Afirmacion_Bloque2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Afirmaci\xf3n', units=u'norm', win=Window(...), wrapWidth=1)
170.6463 	EXP 	Created Ruego_Bloque2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Ruego_Bloque2', opacity=1.0, ori=0, pos=array([ 0.42,  0.  ]), rgb=array([ 255.,  255.,  255.]), text=u'Ruego', units=u'norm', win=Window(...), wrapWidth=1)
170.7147 	EXP 	Created Agradecimiento = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Agradecimiento', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
170.7166 	EXP 	window1: blendMode = 'avg'
170.7246 	EXP 	instrucciones: autoDraw = True
170.7251 	EXP 	window1: blendMode = 'avg'
170.7434 	EXP 	window1: blendMode = 'avg'
170.7600 	EXP 	window1: blendMode = 'avg'
170.7767 	EXP 	window1: blendMode = 'avg'
170.7933 	EXP 	window1: blendMode = 'avg'
170.8101 	EXP 	window1: blendMode = 'avg'
170.8268 	EXP 	window1: blendMode = 'avg'
170.8434 	EXP 	window1: blendMode = 'avg'
170.8602 	EXP 	window1: blendMode = 'avg'
170.8767 	EXP 	window1: blendMode = 'avg'
170.8935 	EXP 	window1: blendMode = 'avg'
170.9101 	EXP 	window1: blendMode = 'avg'
170.9268 	EXP 	window1: blendMode = 'avg'
170.9434 	EXP 	window1: blendMode = 'avg'
170.9600 	EXP 	window1: blendMode = 'avg'
170.9767 	EXP 	window1: blendMode = 'avg'
170.9934 	EXP 	window1: blendMode = 'avg'
171.0100 	EXP 	window1: blendMode = 'avg'
171.0267 	EXP 	window1: blendMode = 'avg'
171.0434 	EXP 	window1: blendMode = 'avg'
171.0599 	EXP 	window1: blendMode = 'avg'
171.0767 	EXP 	window1: blendMode = 'avg'
171.0937 	EXP 	window1: blendMode = 'avg'
171.1099 	EXP 	window1: blendMode = 'avg'
171.1268 	EXP 	window1: blendMode = 'avg'
171.1436 	EXP 	window1: blendMode = 'avg'
171.1600 	EXP 	window1: blendMode = 'avg'
171.1766 	EXP 	window1: blendMode = 'avg'
171.1933 	EXP 	window1: blendMode = 'avg'
171.2097 	EXP 	window1: blendMode = 'avg'
171.2266 	EXP 	window1: blendMode = 'avg'
171.2433 	EXP 	window1: blendMode = 'avg'
171.2600 	EXP 	window1: blendMode = 'avg'
171.2766 	EXP 	window1: blendMode = 'avg'
171.2933 	EXP 	window1: blendMode = 'avg'
171.3100 	EXP 	window1: blendMode = 'avg'
171.3269 	EXP 	window1: blendMode = 'avg'
171.3437 	EXP 	window1: blendMode = 'avg'
171.3602 	EXP 	window1: blendMode = 'avg'
171.3768 	EXP 	window1: blendMode = 'avg'
171.3932 	EXP 	window1: blendMode = 'avg'
171.4099 	EXP 	window1: blendMode = 'avg'
171.4265 	EXP 	window1: blendMode = 'avg'
171.4432 	EXP 	window1: blendMode = 'avg'
171.4599 	EXP 	window1: blendMode = 'avg'
171.4767 	EXP 	window1: blendMode = 'avg'
171.4933 	EXP 	window1: blendMode = 'avg'
171.5099 	EXP 	window1: blendMode = 'avg'
171.5265 	EXP 	window1: blendMode = 'avg'
171.5431 	EXP 	window1: blendMode = 'avg'
171.5598 	EXP 	window1: blendMode = 'avg'
171.5765 	EXP 	window1: blendMode = 'avg'
171.5933 	EXP 	window1: blendMode = 'avg'
171.6098 	EXP 	window1: blendMode = 'avg'
171.6265 	EXP 	window1: blendMode = 'avg'
171.6435 	EXP 	window1: blendMode = 'avg'
171.6598 	EXP 	window1: blendMode = 'avg'
171.6766 	EXP 	window1: blendMode = 'avg'
171.6933 	EXP 	window1: blendMode = 'avg'
171.7098 	EXP 	window1: blendMode = 'avg'
171.7266 	EXP 	window1: blendMode = 'avg'
171.7434 	EXP 	window1: blendMode = 'avg'
171.7597 	EXP 	window1: blendMode = 'avg'
171.7764 	EXP 	window1: blendMode = 'avg'
171.7931 	EXP 	window1: blendMode = 'avg'
171.8097 	EXP 	window1: blendMode = 'avg'
171.8265 	EXP 	window1: blendMode = 'avg'
171.8430 	EXP 	window1: blendMode = 'avg'
171.8597 	EXP 	window1: blendMode = 'avg'
171.8765 	EXP 	window1: blendMode = 'avg'
171.8931 	EXP 	window1: blendMode = 'avg'
171.9097 	EXP 	window1: blendMode = 'avg'
171.9264 	EXP 	window1: blendMode = 'avg'
171.9430 	EXP 	window1: blendMode = 'avg'
171.9597 	EXP 	window1: blendMode = 'avg'
171.9763 	EXP 	window1: blendMode = 'avg'
171.9930 	EXP 	window1: blendMode = 'avg'
172.0096 	EXP 	window1: blendMode = 'avg'
172.0263 	EXP 	window1: blendMode = 'avg'
172.0430 	EXP 	window1: blendMode = 'avg'
172.0600 	EXP 	window1: blendMode = 'avg'
172.0764 	EXP 	window1: blendMode = 'avg'
172.0929 	EXP 	window1: blendMode = 'avg'
172.1096 	EXP 	window1: blendMode = 'avg'
172.1263 	EXP 	window1: blendMode = 'avg'
172.1429 	EXP 	window1: blendMode = 'avg'
172.1596 	EXP 	window1: blendMode = 'avg'
172.1763 	EXP 	window1: blendMode = 'avg'
172.1929 	EXP 	window1: blendMode = 'avg'
172.2096 	EXP 	window1: blendMode = 'avg'
172.2263 	EXP 	window1: blendMode = 'avg'
172.2429 	EXP 	window1: blendMode = 'avg'
172.2597 	EXP 	window1: blendMode = 'avg'
172.2763 	EXP 	window1: blendMode = 'avg'
172.2929 	EXP 	window1: blendMode = 'avg'
172.3096 	EXP 	window1: blendMode = 'avg'
172.3264 	EXP 	window1: blendMode = 'avg'
172.3429 	EXP 	window1: blendMode = 'avg'
172.3596 	EXP 	window1: blendMode = 'avg'
172.3762 	EXP 	window1: blendMode = 'avg'
172.3934 	EXP 	window1: blendMode = 'avg'
172.4096 	EXP 	window1: blendMode = 'avg'
172.4263 	EXP 	window1: blendMode = 'avg'
172.4429 	EXP 	window1: blendMode = 'avg'
172.4594 	EXP 	window1: blendMode = 'avg'
172.4763 	EXP 	window1: blendMode = 'avg'
172.4929 	EXP 	window1: blendMode = 'avg'
172.5094 	EXP 	window1: blendMode = 'avg'
172.5261 	EXP 	window1: blendMode = 'avg'
172.5429 	EXP 	window1: blendMode = 'avg'
172.5595 	EXP 	window1: blendMode = 'avg'
172.5762 	EXP 	window1: blendMode = 'avg'
172.5929 	EXP 	window1: blendMode = 'avg'
172.6096 	EXP 	window1: blendMode = 'avg'
172.6262 	EXP 	window1: blendMode = 'avg'
172.6428 	EXP 	window1: blendMode = 'avg'
172.6595 	EXP 	window1: blendMode = 'avg'
172.6762 	EXP 	window1: blendMode = 'avg'
172.6929 	EXP 	window1: blendMode = 'avg'
172.7094 	EXP 	window1: blendMode = 'avg'
172.7263 	EXP 	window1: blendMode = 'avg'
172.7429 	EXP 	window1: blendMode = 'avg'
172.7596 	EXP 	window1: blendMode = 'avg'
172.7761 	EXP 	window1: blendMode = 'avg'
172.7928 	EXP 	window1: blendMode = 'avg'
