Tiempo,ImagenesE,ClaveEn,Emocion,NumEn,Enunciado,ActoHabla,Clave,Cara,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Bloque2.thisRepN,Bloque2.thisTrialN,Bloque2.thisN,Bloque2.thisIndex,Bloque1.thisRepN,Bloque1.thisTrialN,Bloque1.thisN,Bloque1.thisIndex,Bloque3.thisRepN,Bloque3.thisTrialN,Bloque3.thisN,Bloque3.thisIndex,Resp_Bloque2.keys,Resp_Bloque2.rt,Resp_Bloque1.keys,Resp_Bloque1.rt,Resp_Bloque3.keys,Resp_Bloque3.rt,date,frameRate,expName,session,participant,
0.25,Stim\\02_028.jpg,Al28_12,Alegría,12,Ana compra el libro.,Afirmación,Al28,28,,,,,0,33,33,33,,,,,,,,,3,0.60019822322,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_075.jpg,En75_1,Enojo,1,Juan colecciona monedas antiguas.,Afirmación,En75,75,,,,,0,34,34,34,,,,,,,,,2,0.699955999979,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_028.jpg,Tr28_4,Tristeza,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Tr28,28,,,,,0,35,35,35,,,,,,,,,3,0.500209290163,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_078.jpg,Tr78_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr78,78,,,,,0,36,36,36,,,,,,,,,3,0.700234458532,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_078.jpg,En78_4,Enojo,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,En78,78,,,,,0,37,37,37,,,,,,,,,2,1.01679587025,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_019.jpg,Tr19_7,Tristeza,7,Roberto contesta los cuestionarios solicitados.,Afirmación,Tr19,19,,,,,0,38,38,38,,,,,,,,,2,1.66678105482,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\02_078.jpg,Al78_2,Alegría,2,Jonathan pasea al perro.,Afirmación,Al78,78,,,,,0,39,39,39,,,,,,,,,3,0.600268284106,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\02_078.jpg,Al78_5,Alegría,5,Emilio revisa el formato del archivo.,Afirmación,Al78,78,,,,,0,40,40,40,,,,,,,,,2,3.81604867313,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_019.jpg,En19_11,Enojo,11,María asiste a la cena.,Afirmación,En19,19,,,,,0,41,41,41,,,,,,,,,2,3.21626992273,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_028.jpg,Al28_15,Alegría,15,Ángel envía una carta a la abuela.,Afirmación,Al28,28,,,,,0,42,42,42,,,,,,,,,3,0.650231959545,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_019.jpg,Tr19_4,Tristeza,4,Jorge sustituye a Gustavo cada sábado.,Afirmación,Tr19,19,,,,,0,43,43,43,,,,,,,,,3,0.700234012284,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_075.jpg,Al75_12,Alegría,12,Ana compra el libro.,Afirmación,Al75,75,,,,,0,44,44,44,,,,,,,,,2,2.29970306679,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_028.jpg,En28_12,Enojo,12,Ana compra el libro.,Afirmación,En28,28,,,,,0,45,45,45,,,,,,,,,2,2.59974706681,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\02_028.jpg,Al28_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al28,28,,,,,0,46,46,46,,,,,,,,,3,0.600266499115,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_075.jpg,Tr75_6,Tristeza,6,Eduardo camina hacia la biblioteca.,Afirmación,Tr75,75,,,,,0,47,47,47,,,,,,,,,3,0.70023668977,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_028.jpg,En28_8,Enojo,8,Estefanía despierta a las 7 a.m.,Afirmación,En28,28,,,,,0,48,48,48,,,,,,,,,2,1.16673955379,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\05_019.jpg,En19_7,Enojo,7,Roberto contesta los cuestionarios solicitados.,Afirmación,En19,19,,,,,0,49,49,49,,,,,,,,,2,0.800321119832,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_019.jpg,Al19_10,Alegría,10,Laura finaliza la obra.,Afirmación,Al19,19,,,,,0,50,50,50,,,,,,,,,3,0.750346288201,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\05_028.jpg,En28_14,Enojo,14,Elizabeth elige la ropa un día antes.,Afirmación,En28,28,,,,,0,51,51,51,,,,,,,,,2,0.900284170524,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\03_028.jpg,Tr28_8,Tristeza,8,Estefanía despierta a las 7 a.m.,Afirmación,Tr28,28,,,,,0,52,52,52,,,,,,,,,4,0.866882085298,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\02_075.jpg,Al75_3,Alegría,3,Andrea diseña la portada del libro.,Afirmación,Al75,75,,,,,0,53,53,53,,,,,,,,,3,0.750506044871,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\02_028.jpg,Al28_1,Alegría,1,Juan colecciona monedas antiguas.,Afirmación,Al28,28,,,,,0,54,54,54,,,,,,,,,3,0.650230174554,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_028.jpg,Tr28_3,Tristeza,3,Andrea diseña la portada del libro.,Afirmación,Tr28,28,,,,,0,55,55,55,,,,,,,,,3,0.700493282187,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_078.jpg,Al78_11,Alegría,11,María asiste a la cena.,Afirmación,Al78,78,,,,,0,56,56,56,,,,,,,,,3,0.600378953531,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_019.jpg,Tr19_12,Tristeza,12,Ana compra el libro.,Afirmación,Tr19,19,,,,,0,57,57,57,,,,,,,,,2,0.70031567561,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
2.5,Stim\\02_078.jpg,Al78_14,Alegría,14,Elizabeth elige la ropa un día antes.,Afirmación,Al78,78,,,,,0,58,58,58,,,,,,,,,3,0.650167253631,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
0.25,Stim\\03_019.jpg,Tr19_2,Tristeza,2,Jonathan pasea al perro.,Afirmación,Tr19,19,,,,,0,59,59,59,,,,,,,,,2,1.88300501404,,,,,2018_may._07_1640,59.9806747768,Experimento Piloto1,001,110,
