25.3207 	ERROR 	avbin.dll failed to load. Try importing psychopy.visual
  as the first library (before anything that uses scipy)
  and make sure that avbin is installed.
232.6719 	EXP 	Created Ruego_Bloque1 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Ruego_Bloque1', opacity=1.0, ori=0, pos=array([ 0.42,  0.  ]), rgb=array([ 255.,  255.,  255.]), text=u'Ruego', units=u'norm', win=Window(...), wrapWidth=1)
232.8561 	EXP 	Created Instrucciones_Exp3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Instrucciones_Exp3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
232.8615 	EXP 	Created fijacionE = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='fijacionE', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
232.8648 	EXP 	Created Rostro_Bloque_3 = ImageStim(autoLog=True, color=array([ 1.,  1.,  1.]), colorSpace='rgb', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, image='sin', interpolate=True, mask=None, maskParams=None, name='Rostro_Bloque_3', opacity=1.0, ori=0.0, pos=array([ 0.  ,  0.42]), size=array([ 0.7,  1. ]), texRes=128, units=u'norm', win=Window(...))
232.8697 	EXP 	Created Fijacion_2 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Fijacion_2', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'+', units=u'norm', win=Window(...), wrapWidth=1)
232.8832 	EXP 	Created Enunciado_Bloque3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Enunciado_Bloque3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'default text', units=u'norm', win=Window(...), wrapWidth=1)
232.8931 	EXP 	Created Exigencia_Bloque3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Exigencia_Bloque3', opacity=1.0, ori=0, pos=array([-0.42,  0.  ]), rgb=array([ 255.,  255.,  255.]), text=u'Exigencia', units=u'norm', win=Window(...), wrapWidth=1)
232.9108 	EXP 	Created Afirmacion_Bloque3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Afirmacion_Bloque3', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=u'Afirmaci\xf3n', units=u'norm', win=Window(...), wrapWidth=1)
232.9226 	EXP 	Created Ruego_Bloque3 = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-2.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Ruego_Bloque3', opacity=1.0, ori=0, pos=array([ 0.42,  0.  ]), rgb=array([ 255.,  255.,  255.]), text=u'Ruego', units=u'norm', win=Window(...), wrapWidth=1)
233.0140 	EXP 	Created Agradecimiento = TextStim(alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, name='Agradecimiento', opacity=1.0, ori=0, pos=array([ 0.,  0.]), rgb=array([ 255.,  255.,  255.]), text=unicode(...), units=u'norm', win=Window(...), wrapWidth=1.5)
233.0163 	EXP 	window1: blendMode = 'avg'
233.0234 	EXP 	instrucciones: autoDraw = True
233.0242 	EXP 	window1: blendMode = 'avg'
233.0420 	EXP 	window1: blendMode = 'avg'
233.0590 	EXP 	window1: blendMode = 'avg'
233.0759 	EXP 	window1: blendMode = 'avg'
233.0918 	EXP 	window1: blendMode = 'avg'
233.1081 	EXP 	window1: blendMode = 'avg'
233.1250 	EXP 	window1: blendMode = 'avg'
233.1415 	EXP 	window1: blendMode = 'avg'
233.1583 	EXP 	window1: blendMode = 'avg'
233.1749 	EXP 	window1: blendMode = 'avg'
233.1916 	EXP 	window1: blendMode = 'avg'
233.2085 	EXP 	window1: blendMode = 'avg'
233.2252 	EXP 	window1: blendMode = 'avg'
233.2416 	EXP 	window1: blendMode = 'avg'
233.2583 	EXP 	window1: blendMode = 'avg'
233.2747 	EXP 	window1: blendMode = 'avg'
233.2915 	EXP 	window1: blendMode = 'avg'
233.3082 	EXP 	window1: blendMode = 'avg'
233.3251 	EXP 	window1: blendMode = 'avg'
233.3417 	EXP 	window1: blendMode = 'avg'
233.3581 	EXP 	window1: blendMode = 'avg'
233.3747 	EXP 	window1: blendMode = 'avg'
233.3918 	EXP 	window1: blendMode = 'avg'
233.4084 	EXP 	window1: blendMode = 'avg'
233.4247 	EXP 	window1: blendMode = 'avg'
233.4414 	EXP 	window1: blendMode = 'avg'
233.4587 	EXP 	window1: blendMode = 'avg'
233.4747 	EXP 	window1: blendMode = 'avg'
233.4914 	EXP 	window1: blendMode = 'avg'
233.5080 	EXP 	window1: blendMode = 'avg'
233.5247 	EXP 	window1: blendMode = 'avg'
233.5417 	EXP 	window1: blendMode = 'avg'
233.5580 	EXP 	window1: blendMode = 'avg'
233.5749 	EXP 	window1: blendMode = 'avg'
233.5917 	EXP 	window1: blendMode = 'avg'
233.6084 	EXP 	window1: blendMode = 'avg'
233.6250 	EXP 	window1: blendMode = 'avg'
233.6417 	EXP 	window1: blendMode = 'avg'
233.6584 	EXP 	window1: blendMode = 'avg'
233.6747 	EXP 	window1: blendMode = 'avg'
233.6913 	EXP 	window1: blendMode = 'avg'
233.7080 	EXP 	window1: blendMode = 'avg'
233.7247 	EXP 	window1: blendMode = 'avg'
233.7413 	EXP 	window1: blendMode = 'avg'
233.7583 	EXP 	window1: blendMode = 'avg'
233.7747 	EXP 	window1: blendMode = 'avg'
233.7924 	EXP 	window1: blendMode = 'avg'
233.8092 	EXP 	window1: blendMode = 'avg'
233.8259 	EXP 	window1: blendMode = 'avg'
233.8414 	EXP 	window1: blendMode = 'avg'
233.8582 	EXP 	window1: blendMode = 'avg'
233.8749 	EXP 	window1: blendMode = 'avg'
233.8913 	EXP 	window1: blendMode = 'avg'
233.9079 	EXP 	window1: blendMode = 'avg'
233.9246 	EXP 	window1: blendMode = 'avg'
233.9413 	EXP 	window1: blendMode = 'avg'
233.9581 	EXP 	window1: blendMode = 'avg'
233.9746 	EXP 	window1: blendMode = 'avg'
233.9913 	EXP 	window1: blendMode = 'avg'
234.0079 	EXP 	window1: blendMode = 'avg'
234.0250 	EXP 	window1: blendMode = 'avg'
234.0412 	EXP 	window1: blendMode = 'avg'
234.0583 	EXP 	window1: blendMode = 'avg'
234.0746 	EXP 	window1: blendMode = 'avg'
234.0915 	EXP 	window1: blendMode = 'avg'
234.1083 	EXP 	window1: blendMode = 'avg'
234.1248 	EXP 	window1: blendMode = 'avg'
234.1416 	EXP 	window1: blendMode = 'avg'
234.1579 	EXP 	window1: blendMode = 'avg'
234.1745 	EXP 	window1: blendMode = 'avg'
234.1912 	EXP 	window1: blendMode = 'avg'
234.2079 	EXP 	window1: blendMode = 'avg'
234.2246 	EXP 	window1: blendMode = 'avg'
234.2416 	EXP 	window1: blendMode = 'avg'
234.2582 	EXP 	window1: blendMode = 'avg'
234.2747 	EXP 	window1: blendMode = 'avg'
234.2916 	EXP 	window1: blendMode = 'avg'
234.3082 	EXP 	window1: blendMode = 'avg'
234.3249 	EXP 	window1: blendMode = 'avg'
234.3414 	EXP 	window1: blendMode = 'avg'
234.3582 	EXP 	window1: blendMode = 'avg'
234.3748 	EXP 	window1: blendMode = 'avg'
234.3914 	EXP 	window1: blendMode = 'avg'
234.4081 	EXP 	window1: blendMode = 'avg'
234.4248 	EXP 	window1: blendMode = 'avg'
234.4415 	EXP 	window1: blendMode = 'avg'
234.4577 	EXP 	window1: blendMode = 'avg'
234.4745 	EXP 	window1: blendMode = 'avg'
234.4919 	EXP 	window1: blendMode = 'avg'
234.5080 	EXP 	window1: blendMode = 'avg'
234.5245 	EXP 	window1: blendMode = 'avg'
234.5411 	EXP 	window1: blendMode = 'avg'
234.5577 	EXP 	window1: blendMode = 'avg'
234.5745 	EXP 	window1: blendMode = 'avg'
234.5910 	EXP 	window1: blendMode = 'avg'
234.6078 	EXP 	window1: blendMode = 'avg'
234.6244 	EXP 	window1: blendMode = 'avg'
234.6412 	EXP 	window1: blendMode = 'avg'
234.6576 	EXP 	window1: blendMode = 'avg'
234.6744 	EXP 	window1: blendMode = 'avg'
234.6914 	EXP 	window1: blendMode = 'avg'
234.7080 	EXP 	window1: blendMode = 'avg'
234.7243 	EXP 	window1: blendMode = 'avg'
234.7410 	EXP 	window1: blendMode = 'avg'
234.7577 	EXP 	window1: blendMode = 'avg'
234.7744 	EXP 	window1: blendMode = 'avg'
234.7913 	EXP 	window1: blendMode = 'avg'
234.8077 	EXP 	window1: blendMode = 'avg'
234.8248 	EXP 	window1: blendMode = 'avg'
234.8411 	EXP 	window1: blendMode = 'avg'
234.8592 	EXP 	window1: blendMode = 'avg'
234.8755 	EXP 	window1: blendMode = 'avg'
234.8923 	EXP 	window1: blendMode = 'avg'
234.9083 	EXP 	window1: blendMode = 'avg'
234.9246 	EXP 	window1: blendMode = 'avg'
234.9413 	EXP 	window1: blendMode = 'avg'
234.9583 	EXP 	window1: blendMode = 'avg'
234.9746 	EXP 	window1: blendMode = 'avg'
234.9909 	EXP 	window1: blendMode = 'avg'
235.0080 	EXP 	window1: blendMode = 'avg'
235.0244 	EXP 	window1: blendMode = 'avg'
235.0410 	EXP 	window1: blendMode = 'avg'
235.0579 	EXP 	window1: blendMode = 'avg'
235.0746 	EXP 	window1: blendMode = 'avg'
235.0912 	EXP 	window1: blendMode = 'avg'
235.1078 	EXP 	window1: blendMode = 'avg'
235.1247 	EXP 	window1: blendMode = 'avg'
235.1413 	EXP 	window1: blendMode = 'avg'
235.1576 	EXP 	window1: blendMode = 'avg'
235.1746 	EXP 	window1: blendMode = 'avg'
235.1912 	EXP 	window1: blendMode = 'avg'
235.2077 	EXP 	window1: blendMode = 'avg'
235.2247 	EXP 	window1: blendMode = 'avg'
235.2415 	EXP 	window1: blendMode = 'avg'
235.2579 	EXP 	window1: blendMode = 'avg'
235.2746 	EXP 	window1: blendMode = 'avg'
235.2913 	EXP 	window1: blendMode = 'avg'
235.3079 	EXP 	window1: blendMode = 'avg'
235.3245 	EXP 	window1: blendMode = 'avg'
235.3409 	EXP 	window1: blendMode = 'avg'
235.3579 	EXP 	window1: blendMode = 'avg'
235.3745 	EXP 	window1: blendMode = 'avg'
235.3907 	EXP 	window1: blendMode = 'avg'
235.4076 	EXP 	window1: blendMode = 'avg'
235.4241 	EXP 	window1: blendMode = 'avg'
235.4409 	EXP 	window1: blendMode = 'avg'
235.4575 	EXP 	window1: blendMode = 'avg'
235.4742 	EXP 	window1: blendMode = 'avg'
235.4909 	EXP 	window1: blendMode = 'avg'
235.5077 	EXP 	window1: blendMode = 'avg'
235.5244 	EXP 	window1: blendMode = 'avg'
235.5407 	EXP 	window1: blendMode = 'avg'
235.5575 	EXP 	window1: blendMode = 'avg'
235.5742 	EXP 	window1: blendMode = 'avg'
235.5908 	EXP 	window1: blendMode = 'avg'
235.6074 	EXP 	window1: blendMode = 'avg'
235.6240 	EXP 	window1: blendMode = 'avg'
235.6406 	EXP 	window1: blendMode = 'avg'
235.6574 	EXP 	window1: blendMode = 'avg'
235.6741 	EXP 	window1: blendMode = 'avg'
235.6907 	EXP 	window1: blendMode = 'avg'
235.7074 	EXP 	window1: blendMode = 'avg'
235.7244 	EXP 	window1: blendMode = 'avg'
235.7410 	EXP 	window1: blendMode = 'avg'
235.7579 	EXP 	window1: blendMode = 'avg'
235.7745 	EXP 	window1: blendMode = 'avg'
235.7906 	EXP 	window1: blendMode = 'avg'
235.8075 	EXP 	window1: blendMode = 'avg'
235.8239 	EXP 	window1: blendMode = 'avg'
235.8408 	EXP 	window1: blendMode = 'avg'
235.8574 	EXP 	window1: blendMode = 'avg'
235.8743 	EXP 	window1: blendMode = 'avg'
235.8907 	EXP 	window1: blendMode = 'avg'
235.9085 	EXP 	window1: blendMode = 'avg'
235.9248 	EXP 	window1: blendMode = 'avg'
235.9409 	EXP 	window1: blendMode = 'avg'
235.9576 	EXP 	window1: blendMode = 'avg'
235.9743 	EXP 	window1: blendMode = 'avg'
235.9909 	EXP 	window1: blendMode = 'avg'
236.0076 	EXP 	window1: blendMode = 'avg'
236.0241 	EXP 	window1: blendMode = 'avg'
236.0410 	EXP 	window1: blendMode = 'avg'
236.0574 	EXP 	window1: blendMode = 'avg'
236.0740 	EXP 	window1: blendMode = 'avg'
236.0906 	EXP 	window1: blendMode = 'avg'
236.1073 	EXP 	window1: blendMode = 'avg'
236.1242 	EXP 	window1: blendMode = 'avg'
236.1404 	EXP 	window1: blendMode = 'avg'
236.1574 	EXP 	window1: blendMode = 'avg'
236.1742 	EXP 	window1: blendMode = 'avg'
236.1904 	EXP 	window1: blendMode = 'avg'
236.2074 	EXP 	window1: blendMode = 'avg'
236.2239 	EXP 	window1: blendMode = 'avg'
236.2404 	EXP 	window1: blendMode = 'avg'
236.2573 	EXP 	window1: blendMode = 'avg'
236.2740 	EXP 	window1: blendMode = 'avg'
236.2905 	EXP 	window1: blendMode = 'avg'
236.3075 	EXP 	window1: blendMode = 'avg'
236.3242 	EXP 	window1: blendMode = 'avg'
236.3405 	EXP 	window1: blendMode = 'avg'
236.3572 	EXP 	window1: blendMode = 'avg'
236.3739 	EXP 	window1: blendMode = 'avg'
236.3905 	EXP 	window1: blendMode = 'avg'
236.4072 	EXP 	window1: blendMode = 'avg'
236.4239 	EXP 	window1: blendMode = 'avg'
236.4405 	EXP 	window1: blendMode = 'avg'
236.4570 	EXP 	window1: blendMode = 'avg'
236.4739 	EXP 	window1: blendMode = 'avg'
236.4905 	EXP 	window1: blendMode = 'avg'
236.5078 	EXP 	window1: blendMode = 'avg'
236.5255 	EXP 	window1: blendMode = 'avg'
236.5419 	EXP 	window1: blendMode = 'avg'
236.5572 	EXP 	window1: blendMode = 'avg'
236.5738 	EXP 	window1: blendMode = 'avg'
236.5907 	EXP 	window1: blendMode = 'avg'
236.6074 	EXP 	window1: blendMode = 'avg'
236.6241 	EXP 	window1: blendMode = 'avg'
236.6408 	EXP 	window1: blendMode = 'avg'
236.6570 	EXP 	window1: blendMode = 'avg'
236.6738 	EXP 	window1: blendMode = 'avg'
236.6905 	EXP 	window1: blendMode = 'avg'
236.7072 	EXP 	window1: blendMode = 'avg'
236.7241 	EXP 	window1: blendMode = 'avg'
236.7408 	EXP 	window1: blendMode = 'avg'
236.7575 	EXP 	window1: blendMode = 'avg'
236.7738 	EXP 	window1: blendMode = 'avg'
236.7904 	EXP 	window1: blendMode = 'avg'
236.8071 	EXP 	window1: blendMode = 'avg'
236.8238 	EXP 	window1: blendMode = 'avg'
236.8404 	EXP 	window1: blendMode = 'avg'
236.8571 	EXP 	window1: blendMode = 'avg'
236.8736 	EXP 	window1: blendMode = 'avg'
236.8904 	EXP 	window1: blendMode = 'avg'
236.9070 	EXP 	window1: blendMode = 'avg'
